id,common_name,scientific_name,aliases,retail_group,care_profile_id,description,care_summary,light_category,water_category,humidity_category,soil_category,airflow_notes,difficulty,pet_safety,data_quality,listing_keywords
scindapsus-dark-form,Scindapsus Dark Form,Scindapsus treubii 'Dark Form',Treubii Dark Form,houseplant_aroid,AROIDS_CHUNKY,"Scindapsus Dark Form is a popular tropical foliage plant sold for decorative leaves, climbing/trailing habit, and easy propagation. Listings should emphasize leaf shape, variegation, pot size, and rooted cutting status.","Bright indirect to medium indirect light; protect from harsh midday sun indoors. Water when the top 30-50% of mix dries; do not leave standing in water. Average indoor humidity is usually workable; 50-70% helps larger leaves and velvety species. Soil: Chunky, airy aroid mix with potting soil/coco plus orchid bark, perlite, or pumice.",bright_indirect_to_medium,moderate_drydown,average_to_high,chunky_aroid_mix,Gentle airflow helps reduce fungal issues; avoid cold drafts and heater vents.,easy_to_intermediate,likely_toxic,mvp_seed_needs_taxonomy_and_toxicity_review,"Scindapsus Dark Form, houseplant aroid, Tropical aroid / chunky mix, plant care, rooted plant, local pickup"
heartleaf-philodendron,Heartleaf Philodendron,Philodendron hederaceum,,houseplant_aroid,AROIDS_CHUNKY,"Heartleaf Philodendron is a popular tropical foliage plant sold for decorative leaves, climbing/trailing habit, and easy propagation. Listings should emphasize leaf shape, variegation, pot size, and rooted cutting status.","Bright indirect to medium indirect light; protect from harsh midday sun indoors. Water when the top 30-50% of mix dries; do not leave standing in water. Average indoor humidity is usually workable; 50-70% helps larger leaves and velvety species. Soil: Chunky, airy aroid mix with potting soil/coco plus orchid bark, perlite, or pumice.",bright_indirect_to_medium,moderate_drydown,average_to_high,chunky_aroid_mix,Gentle airflow helps reduce fungal issues; avoid cold drafts and heater vents.,easy_to_intermediate,likely_toxic,mvp_seed_needs_taxonomy_and_toxicity_review,"Heartleaf Philodendron, houseplant aroid, Tropical aroid / chunky mix, plant care, rooted plant, local pickup"
philodendron-brasil,Philodendron Brasil,Philodendron hederaceum 'Brasil',,houseplant_aroid,AROIDS_CHUNKY,"Philodendron Brasil is a popular tropical foliage plant sold for decorative leaves, climbing/trailing habit, and easy propagation. Listings should emphasize leaf shape, variegation, pot size, and rooted cutting status.","Bright indirect to medium indirect light; protect from harsh midday sun indoors. Water when the top 30-50% of mix dries; do not leave standing in water. Average indoor humidity is usually workable; 50-70% helps larger leaves and velvety species. Soil: Chunky, airy aroid mix with potting soil/coco plus orchid bark, perlite, or pumice.",bright_indirect_to_medium,moderate_drydown,average_to_high,chunky_aroid_mix,Gentle airflow helps reduce fungal issues; avoid cold drafts and heater vents.,easy_to_intermediate,likely_toxic,mvp_seed_needs_taxonomy_and_toxicity_review,"Philodendron Brasil, houseplant aroid, Tropical aroid / chunky mix, plant care, rooted plant, local pickup"
philodendron-micans,Philodendron Micans,Philodendron hederaceum var. hederaceum,Velvet-leaf philodendron,houseplant_aroid,AROIDS_CHUNKY,"Philodendron Micans is a popular tropical foliage plant sold for decorative leaves, climbing/trailing habit, and easy propagation. Listings should emphasize leaf shape, variegation, pot size, and rooted cutting status.","Bright indirect to medium indirect light; protect from harsh midday sun indoors. Water when the top 30-50% of mix dries; do not leave standing in water. Average indoor humidity is usually workable; 50-70% helps larger leaves and velvety species. Soil: Chunky, airy aroid mix with potting soil/coco plus orchid bark, perlite, or pumice.",bright_indirect_to_medium,moderate_drydown,average_to_high,chunky_aroid_mix,Gentle airflow helps reduce fungal issues; avoid cold drafts and heater vents.,easy_to_intermediate,likely_toxic,mvp_seed_needs_taxonomy_and_toxicity_review,"Philodendron Micans, houseplant aroid, Tropical aroid / chunky mix, plant care, rooted plant, local pickup"
philodendron-birkin,Philodendron Birkin,Philodendron 'Birkin',,houseplant_aroid,AROIDS_CHUNKY,"Philodendron Birkin is a popular tropical foliage plant sold for decorative leaves, climbing/trailing habit, and easy propagation. Listings should emphasize leaf shape, variegation, pot size, and rooted cutting status.","Bright indirect to medium indirect light; protect from harsh midday sun indoors. Water when the top 30-50% of mix dries; do not leave standing in water. Average indoor humidity is usually workable; 50-70% helps larger leaves and velvety species. Soil: Chunky, airy aroid mix with potting soil/coco plus orchid bark, perlite, or pumice.",bright_indirect_to_medium,moderate_drydown,average_to_high,chunky_aroid_mix,Gentle airflow helps reduce fungal issues; avoid cold drafts and heater vents.,easy_to_intermediate,likely_toxic,mvp_seed_needs_taxonomy_and_toxicity_review,"Philodendron Birkin, houseplant aroid, Tropical aroid / chunky mix, plant care, rooted plant, local pickup"
philodendron-pink-princess,Philodendron Pink Princess,Philodendron erubescens 'Pink Princess',,houseplant_aroid,RARE_AROIDS_HIGH_HUMIDITY,"Philodendron Pink Princess is a collector-oriented tropical aroid usually sold for distinctive leaves, venation, or variegation. Listings should be clear about root status, leaf count, humidity acclimation, and cosmetic leaf wear.","Bright filtered light; avoid direct sun on thin or velvety leaves. Keep evenly moist but never soggy; allow the upper mix to begin drying between waterings. High humidity preferred, often 60-80%, with steady warmth. Soil: Very airy aroid mix with bark, perlite/pumice, coco chips, and a moisture-retentive component.",bright_indirect,even_moist,high,chunky_aroid_moist,High humidity should be paired with airflow to prevent leaf spotting and rot.,intermediate_to_advanced,likely_toxic,mvp_seed_needs_taxonomy_and_toxicity_review,"Philodendron Pink Princess, houseplant aroid, Rare/velvety aroid, plant care, rooted plant, local pickup"
philodendron-white-princess,Philodendron White Princess,Philodendron erubescens 'White Princess',,houseplant_aroid,RARE_AROIDS_HIGH_HUMIDITY,"Philodendron White Princess is a collector-oriented tropical aroid usually sold for distinctive leaves, venation, or variegation. Listings should be clear about root status, leaf count, humidity acclimation, and cosmetic leaf wear.","Bright filtered light; avoid direct sun on thin or velvety leaves. Keep evenly moist but never soggy; allow the upper mix to begin drying between waterings. High humidity preferred, often 60-80%, with steady warmth. Soil: Very airy aroid mix with bark, perlite/pumice, coco chips, and a moisture-retentive component.",bright_indirect,even_moist,high,chunky_aroid_moist,High humidity should be paired with airflow to prevent leaf spotting and rot.,intermediate_to_advanced,likely_toxic,mvp_seed_needs_taxonomy_and_toxicity_review,"Philodendron White Princess, houseplant aroid, Rare/velvety aroid, plant care, rooted plant, local pickup"
philodendron-white-knight,Philodendron White Knight,Philodendron erubescens 'White Knight',,houseplant_aroid,RARE_AROIDS_HIGH_HUMIDITY,"Philodendron White Knight is a collector-oriented tropical aroid usually sold for distinctive leaves, venation, or variegation. Listings should be clear about root status, leaf count, humidity acclimation, and cosmetic leaf wear.","Bright filtered light; avoid direct sun on thin or velvety leaves. Keep evenly moist but never soggy; allow the upper mix to begin drying between waterings. High humidity preferred, often 60-80%, with steady warmth. Soil: Very airy aroid mix with bark, perlite/pumice, coco chips, and a moisture-retentive component.",bright_indirect,even_moist,high,chunky_aroid_moist,High humidity should be paired with airflow to prevent leaf spotting and rot.,intermediate_to_advanced,likely_toxic,mvp_seed_needs_taxonomy_and_toxicity_review,"Philodendron White Knight, houseplant aroid, Rare/velvety aroid, plant care, rooted plant, local pickup"
philodendron-prince-of-orange,Philodendron Prince of Orange,Philodendron 'Prince of Orange',,houseplant_aroid,AROIDS_CHUNKY,"Philodendron Prince of Orange is a popular tropical foliage plant sold for decorative leaves, climbing/trailing habit, and easy propagation. Listings should emphasize leaf shape, variegation, pot size, and rooted cutting status.","Bright indirect to medium indirect light; protect from harsh midday sun indoors. Water when the top 30-50% of mix dries; do not leave standing in water. Average indoor humidity is usually workable; 50-70% helps larger leaves and velvety species. Soil: Chunky, airy aroid mix with potting soil/coco plus orchid bark, perlite, or pumice.",bright_indirect_to_medium,moderate_drydown,average_to_high,chunky_aroid_mix,Gentle airflow helps reduce fungal issues; avoid cold drafts and heater vents.,easy_to_intermediate,likely_toxic,mvp_seed_needs_taxonomy_and_toxicity_review,"Philodendron Prince of Orange, houseplant aroid, Tropical aroid / chunky mix, plant care, rooted plant, local pickup"
philodendron-rojo-congo,Philodendron Rojo Congo,Philodendron 'Rojo Congo',,houseplant_aroid,AROIDS_CHUNKY,"Philodendron Rojo Congo is a popular tropical foliage plant sold for decorative leaves, climbing/trailing habit, and easy propagation. Listings should emphasize leaf shape, variegation, pot size, and rooted cutting status.","Bright indirect to medium indirect light; protect from harsh midday sun indoors. Water when the top 30-50% of mix dries; do not leave standing in water. Average indoor humidity is usually workable; 50-70% helps larger leaves and velvety species. Soil: Chunky, airy aroid mix with potting soil/coco plus orchid bark, perlite, or pumice.",bright_indirect_to_medium,moderate_drydown,average_to_high,chunky_aroid_mix,Gentle airflow helps reduce fungal issues; avoid cold drafts and heater vents.,easy_to_intermediate,likely_toxic,mvp_seed_needs_taxonomy_and_toxicity_review,"Philodendron Rojo Congo, houseplant aroid, Tropical aroid / chunky mix, plant care, rooted plant, local pickup"
philodendron-gloriosum,Philodendron Gloriosum,Philodendron gloriosum,,houseplant_aroid,RARE_AROIDS_HIGH_HUMIDITY,"Philodendron Gloriosum is a collector-oriented tropical aroid usually sold for distinctive leaves, venation, or variegation. Listings should be clear about root status, leaf count, humidity acclimation, and cosmetic leaf wear.","Bright filtered light; avoid direct sun on thin or velvety leaves. Keep evenly moist but never soggy; allow the upper mix to begin drying between waterings. High humidity preferred, often 60-80%, with steady warmth. Soil: Very airy aroid mix with bark, perlite/pumice, coco chips, and a moisture-retentive component.",bright_indirect,even_moist,high,chunky_aroid_moist,High humidity should be paired with airflow to prevent leaf spotting and rot.,intermediate_to_advanced,likely_toxic,mvp_seed_needs_taxonomy_and_toxicity_review,"Philodendron Gloriosum, houseplant aroid, Rare/velvety aroid, plant care, rooted plant, local pickup"
philodendron-melanochrysum,Philodendron Melanochrysum,Philodendron melanochrysum,,houseplant_aroid,RARE_AROIDS_HIGH_HUMIDITY,"Philodendron Melanochrysum is a collector-oriented tropical aroid usually sold for distinctive leaves, venation, or variegation. Listings should be clear about root status, leaf count, humidity acclimation, and cosmetic leaf wear.","Bright filtered light; avoid direct sun on thin or velvety leaves. Keep evenly moist but never soggy; allow the upper mix to begin drying between waterings. High humidity preferred, often 60-80%, with steady warmth. Soil: Very airy aroid mix with bark, perlite/pumice, coco chips, and a moisture-retentive component.",bright_indirect,even_moist,high,chunky_aroid_moist,High humidity should be paired with airflow to prevent leaf spotting and rot.,intermediate_to_advanced,likely_toxic,mvp_seed_needs_taxonomy_and_toxicity_review,"Philodendron Melanochrysum, houseplant aroid, Rare/velvety aroid, plant care, rooted plant, local pickup"
philodendron-verrucosum,Philodendron Verrucosum,Philodendron verrucosum,,houseplant_aroid,RARE_AROIDS_HIGH_HUMIDITY,"Philodendron Verrucosum is a collector-oriented tropical aroid usually sold for distinctive leaves, venation, or variegation. Listings should be clear about root status, leaf count, humidity acclimation, and cosmetic leaf wear.","Bright filtered light; avoid direct sun on thin or velvety leaves. Keep evenly moist but never soggy; allow the upper mix to begin drying between waterings. High humidity preferred, often 60-80%, with steady warmth. Soil: Very airy aroid mix with bark, perlite/pumice, coco chips, and a moisture-retentive component.",bright_indirect,even_moist,high,chunky_aroid_moist,High humidity should be paired with airflow to prevent leaf spotting and rot.,intermediate_to_advanced,likely_toxic,mvp_seed_needs_taxonomy_and_toxicity_review,"Philodendron Verrucosum, houseplant aroid, Rare/velvety aroid, plant care, rooted plant, local pickup"
philodendron-florida-ghost,Philodendron Florida Ghost,Philodendron 'Florida Ghost',,houseplant_aroid,RARE_AROIDS_HIGH_HUMIDITY,"Philodendron Florida Ghost is a collector-oriented tropical aroid usually sold for distinctive leaves, venation, or variegation. Listings should be clear about root status, leaf count, humidity acclimation, and cosmetic leaf wear.","Bright filtered light; avoid direct sun on thin or velvety leaves. Keep evenly moist but never soggy; allow the upper mix to begin drying between waterings. High humidity preferred, often 60-80%, with steady warmth. Soil: Very airy aroid mix with bark, perlite/pumice, coco chips, and a moisture-retentive component.",bright_indirect,even_moist,high,chunky_aroid_moist,High humidity should be paired with airflow to prevent leaf spotting and rot.,intermediate_to_advanced,likely_toxic,mvp_seed_needs_taxonomy_and_toxicity_review,"Philodendron Florida Ghost, houseplant aroid, Rare/velvety aroid, plant care, rooted plant, local pickup"
philodendron-ring-of-fire,Philodendron Ring of Fire,Philodendron 'Ring of Fire',,houseplant_aroid,RARE_AROIDS_HIGH_HUMIDITY,"Philodendron Ring of Fire is a collector-oriented tropical aroid usually sold for distinctive leaves, venation, or variegation. Listings should be clear about root status, leaf count, humidity acclimation, and cosmetic leaf wear.","Bright filtered light; avoid direct sun on thin or velvety leaves. Keep evenly moist but never soggy; allow the upper mix to begin drying between waterings. High humidity preferred, often 60-80%, with steady warmth. Soil: Very airy aroid mix with bark, perlite/pumice, coco chips, and a moisture-retentive component.",bright_indirect,even_moist,high,chunky_aroid_moist,High humidity should be paired with airflow to prevent leaf spotting and rot.,intermediate_to_advanced,likely_toxic,mvp_seed_needs_taxonomy_and_toxicity_review,"Philodendron Ring of Fire, houseplant aroid, Rare/velvety aroid, plant care, rooted plant, local pickup"
monstera-deliciosa,Monstera Deliciosa,Monstera deliciosa,Swiss cheese plant,houseplant_aroid,AROIDS_CHUNKY,"Monstera Deliciosa is a popular tropical foliage plant sold for decorative leaves, climbing/trailing habit, and easy propagation. Listings should emphasize leaf shape, variegation, pot size, and rooted cutting status.","Bright indirect to medium indirect light; protect from harsh midday sun indoors. Water when the top 30-50% of mix dries; do not leave standing in water. Average indoor humidity is usually workable; 50-70% helps larger leaves and velvety species. Soil: Chunky, airy aroid mix with potting soil/coco plus orchid bark, perlite, or pumice.",bright_indirect_to_medium,moderate_drydown,average_to_high,chunky_aroid_mix,Gentle airflow helps reduce fungal issues; avoid cold drafts and heater vents.,easy_to_intermediate,likely_toxic,mvp_seed_needs_taxonomy_and_toxicity_review,"Monstera Deliciosa, houseplant aroid, Tropical aroid / chunky mix, plant care, rooted plant, local pickup"
monstera-thai-constellation,Monstera Thai Constellation,Monstera deliciosa 'Thai Constellation',,houseplant_aroid,RARE_AROIDS_HIGH_HUMIDITY,"Monstera Thai Constellation is a collector-oriented tropical aroid usually sold for distinctive leaves, venation, or variegation. Listings should be clear about root status, leaf count, humidity acclimation, and cosmetic leaf wear.","Bright filtered light; avoid direct sun on thin or velvety leaves. Keep evenly moist but never soggy; allow the upper mix to begin drying between waterings. High humidity preferred, often 60-80%, with steady warmth. Soil: Very airy aroid mix with bark, perlite/pumice, coco chips, and a moisture-retentive component.",bright_indirect,even_moist,high,chunky_aroid_moist,High humidity should be paired with airflow to prevent leaf spotting and rot.,intermediate_to_advanced,likely_toxic,mvp_seed_needs_taxonomy_and_toxicity_review,"Monstera Thai Constellation, houseplant aroid, Rare/velvety aroid, plant care, rooted plant, local pickup"
monstera-albo,Monstera Albo,Monstera deliciosa 'Albo Variegata',Variegated monstera,houseplant_aroid,RARE_AROIDS_HIGH_HUMIDITY,"Monstera Albo is a collector-oriented tropical aroid usually sold for distinctive leaves, venation, or variegation. Listings should be clear about root status, leaf count, humidity acclimation, and cosmetic leaf wear.","Bright filtered light; avoid direct sun on thin or velvety leaves. Keep evenly moist but never soggy; allow the upper mix to begin drying between waterings. High humidity preferred, often 60-80%, with steady warmth. Soil: Very airy aroid mix with bark, perlite/pumice, coco chips, and a moisture-retentive component.",bright_indirect,even_moist,high,chunky_aroid_moist,High humidity should be paired with airflow to prevent leaf spotting and rot.,intermediate_to_advanced,likely_toxic,mvp_seed_needs_taxonomy_and_toxicity_review,"Monstera Albo, houseplant aroid, Rare/velvety aroid, plant care, rooted plant, local pickup"
monstera-adansonii,Monstera Adansonii,Monstera adansonii,Swiss cheese vine,houseplant_aroid,AROIDS_CHUNKY,"Monstera Adansonii is a popular tropical foliage plant sold for decorative leaves, climbing/trailing habit, and easy propagation. Listings should emphasize leaf shape, variegation, pot size, and rooted cutting status.","Bright indirect to medium indirect light; protect from harsh midday sun indoors. Water when the top 30-50% of mix dries; do not leave standing in water. Average indoor humidity is usually workable; 50-70% helps larger leaves and velvety species. Soil: Chunky, airy aroid mix with potting soil/coco plus orchid bark, perlite, or pumice.",bright_indirect_to_medium,moderate_drydown,average_to_high,chunky_aroid_mix,Gentle airflow helps reduce fungal issues; avoid cold drafts and heater vents.,easy_to_intermediate,likely_toxic,mvp_seed_needs_taxonomy_and_toxicity_review,"Monstera Adansonii, houseplant aroid, Tropical aroid / chunky mix, plant care, rooted plant, local pickup"
monstera-siltepecana,Monstera Siltepecana,Monstera siltepecana,,houseplant_aroid,RARE_AROIDS_HIGH_HUMIDITY,"Monstera Siltepecana is a collector-oriented tropical aroid usually sold for distinctive leaves, venation, or variegation. Listings should be clear about root status, leaf count, humidity acclimation, and cosmetic leaf wear.","Bright filtered light; avoid direct sun on thin or velvety leaves. Keep evenly moist but never soggy; allow the upper mix to begin drying between waterings. High humidity preferred, often 60-80%, with steady warmth. Soil: Very airy aroid mix with bark, perlite/pumice, coco chips, and a moisture-retentive component.",bright_indirect,even_moist,high,chunky_aroid_moist,High humidity should be paired with airflow to prevent leaf spotting and rot.,intermediate_to_advanced,likely_toxic,mvp_seed_needs_taxonomy_and_toxicity_review,"Monstera Siltepecana, houseplant aroid, Rare/velvety aroid, plant care, rooted plant, local pickup"
monstera-peru,Monstera Peru,Monstera karstenianum,Monstera sp. Peru,houseplant_aroid,RARE_AROIDS_HIGH_HUMIDITY,"Monstera Peru is a collector-oriented tropical aroid usually sold for distinctive leaves, venation, or variegation. Listings should be clear about root status, leaf count, humidity acclimation, and cosmetic leaf wear.","Bright filtered light; avoid direct sun on thin or velvety leaves. Keep evenly moist but never soggy; allow the upper mix to begin drying between waterings. High humidity preferred, often 60-80%, with steady warmth. Soil: Very airy aroid mix with bark, perlite/pumice, coco chips, and a moisture-retentive component.",bright_indirect,even_moist,high,chunky_aroid_moist,High humidity should be paired with airflow to prevent leaf spotting and rot.,intermediate_to_advanced,likely_toxic,mvp_seed_needs_taxonomy_and_toxicity_review,"Monstera Peru, houseplant aroid, Rare/velvety aroid, plant care, rooted plant, local pickup"
