care_profile_id,name,light_category,water_category,humidity_category,soil_category,light,water,humidity,soil,airflow,difficulty
ORCHID_EPIPHYTE,Epiphytic orchid,bright_indirect,wet_dry_epiphyte,average_to_high,orchid_bark_sphagnum,Bright filtered light; avoid hot direct sun unless the species prefers it.,Water when bark/moss approaches dry; never keep roots stagnant.,Moderate to high humidity with airflow.,"Orchid bark, sphagnum, mounted culture, or species-appropriate epiphyte media.",Air movement is critical around roots and leaves.,intermediate
FERN_MOIST,Moisture-loving fern,medium_to_bright_indirect,even_moist,high,moist_fern_mix,Medium to bright indirect light; avoid hot direct sun.,"Keep evenly moist, not soggy; avoid drying completely.",High humidity preferred; dry air causes crisp fronds.,"Moist, organic, well-draining fern mix.",Gentle airflow helps prevent disease while retaining humidity.,intermediate
AIR_PLANT,Air plant / tillandsia,bright_indirect_to_gentle_sun,soak_and_dry,average,no_soil_epiphyte,Bright indirect light with some gentle morning sun.,"Soak or rinse regularly, then dry fully within a few hours.",Average to moderate humidity.,No soil; mount in a breathable display.,Very important: plants must dry after watering.,easy_to_intermediate
CARNIVOROUS,Carnivorous bog plant,bright_to_direct,wet_bog,average_to_high,carnivorous_bog_mix,Very bright light; many need direct sun.,Keep consistently wet with distilled/rain/RO water; avoid tap water minerals.,Average to high depending on species; airflow still matters.,Nutrient-poor peat/sphagnum and perlite/sand; never fertilized potting soil.,Use airflow to prevent mold in wet media.,intermediate
HERB_MEDITERRANEAN,Mediterranean herb,full_sun,moderate_to_dry,low_to_average,lean_well_draining,Full sun outdoors or the brightest indoor window/grow light.,Let the top soil dry; avoid constant wet roots.,Average to low humidity; prefers airflow.,"Lean, very well-draining mix; add perlite, pumice, or sand.",Excellent airflow improves flavor and reduces mildew.,easy_to_intermediate
HERB_MOIST,Leafy culinary herb,bright_to_full_sun,even_moist,average,rich_well_draining,Bright light to full sun; some afternoon shade in hot climates.,Keep evenly moist but not soggy; containers dry quickly.,Average humidity is fine.,Rich potting mix or garden soil with good drainage.,Airflow reduces mildew and fungus gnats.,easy
VEGETABLE_FULL_SUN,Fruiting vegetable / edible starter,full_sun,consistent_moist,average,rich_well_draining,"Full sun, ideally 6+ hours outdoors or strong grow light.",Consistent watering; avoid drought stress and waterlogged roots.,Average outdoor humidity; airflow is important.,"Rich, fertile, well-draining soil or container mix.",Good spacing and airflow reduce disease.,easy_to_intermediate
OUTDOOR_ANNUAL,Outdoor flowering annual,sun_to_part_sun,moderate_consistent,outdoor_variable,rich_well_draining,Full sun to part sun depending on species.,Water when the top soil dries; containers may need frequent watering.,Outdoor humidity is fine; avoid crowded stagnant plantings.,"Fertile, well-draining garden or container mix.",Spacing and deadheading help reduce disease and prolong bloom.,easy
OUTDOOR_PERENNIAL,Outdoor perennial,varies_by_species,establish_then_moderate,outdoor_variable,garden_well_draining,"Match species to full sun, part sun, or shade.",Water to establish; many need less once rooted.,Outdoor humidity is fine.,Well-draining garden soil amended for the species.,Good spacing reduces fungal pressure.,easy_to_intermediate
SHRUB_FLOWERING,Flowering shrub / landscape plant,part_sun_to_full_sun,deep_establishment,outdoor_variable,garden_species_specific,Usually part sun to full sun; check species and climate.,Deep watering while establishing; then species-appropriate irrigation.,Outdoor humidity is fine; choose climate-appropriate plants.,Garden soil matched to species pH/drainage needs.,Prune/space for airflow and bloom performance.,easy_to_intermediate
CITRUS_FRUIT,Citrus / fruiting container tree,full_sun,moderate_drydown,average,citrus_fast_draining,Full sun outdoors; brightest possible indoor overwintering light.,Water deeply when the upper soil dries; avoid soggy roots.,Average outdoor humidity; indoors avoid hot dry vents.,Fast-draining citrus/cactus-style container mix.,Outdoor airflow helps pests/disease; indoor trees need inspection for scale/mites.,intermediate
BONSAI_TREE,Bonsai / small tree in shallow pot,bright_to_full_sun,frequent_check,varies,bonsai_gritty,Very bright light; outdoor species should live outdoors.,Check often; shallow pots dry quickly but should not stay waterlogged.,Species-specific; indoor bonsai dislike dry hot vents.,Bonsai mix with akadama/pumice/lava or species-appropriate gritty mix.,Outdoor airflow is ideal for many bonsai.,intermediate_to_advanced
OUTDOOR_PALM,Outdoor palm / sun-loving landscape palm,full_sun_to_part_sun,deep_establishment_then_moderate,outdoor_variable,garden_fast_draining,Full sun is best; young plants can appreciate a gentler transition if moved from shade or indoors.,"Water regularly while establishing, then deeply and less often once rooted; avoid constantly soggy soil.",Outdoor humidity is fine; good airflow helps keep crowns and fronds healthy.,Fast-draining ground or large-container soil; avoid standing water around the crown.,Outdoor airflow is beneficial; remove crowded dead material and avoid burying the crown.,easy_to_intermediate
OUTDOOR_CONIFER_TREE,Outdoor conifer / specimen tree,full_sun_to_part_sun,establish_then_moderate,outdoor_variable,garden_well_draining,Full sun to part sun depending on climate and plant age; avoid dark and crowded siting.,"Water consistently while establishing, then shift to deeper, less frequent watering in well-draining soil.",Outdoor humidity is fine; avoid prolonged stagnant wet foliage where fungal issues linger.,Well-draining ground soil with room for roots; avoid sites that stay waterlogged.,Good spacing and airflow support strong branching and reduce fungal pressure.,intermediate
